Pre-production check start.
File: C:\Work\BombJack\V8.0\Bomb Jack - All - Routed.pdsprj
Date: 17 November 2021, 09:58:27
Missing connection: EXPANSIONBUSH1:A21, JP19:2
Missing connection: JP35:2, EXPANSIONBUSP5:A21
Missing connection: JP3:2, EXPANSIONBUSP4:A21
Missing connection: EXPANSIONBUSP1:A21, JP3:2
Missing connection: EXPANSIONBUSP2:A21, JP43:2
Missing connection: JP51:2, EXPANSIONBUSP3:A21
Missing connection: EXPANSIONBUSH1:A23, JP20:2
Missing connection: JP36:2, EXPANSIONBUSP5:A23
Missing connection: JP4:2, EXPANSIONBUSP4:A23
Missing connection: EXPANSIONBUSP1:A23, JP4:2
Missing connection: EXPANSIONBUSP2:A23, JP44:2
Missing connection: JP52:2, EXPANSIONBUSP3:A23
Missing connection: EXPANSIONBUSH1:A24, JP21:2
Missing connection: JP37:2, EXPANSIONBUSP5:A24
Missing connection: JP5:2, EXPANSIONBUSP4:A24
Missing connection: EXPANSIONBUSP1:A24, JP5:2
Missing connection: EXPANSIONBUSP2:A24, JP45:2
Missing connection: JP53:2, EXPANSIONBUSP3:A24
Missing connection: EXPANSIONBUSH1:B20, JP22:2
Missing connection: JP38:2, EXPANSIONBUSP5:B20
Missing connection: JP6:2, EXPANSIONBUSP4:B20
Missing connection: EXPANSIONBUSP1:B20, JP6:2
Missing connection: EXPANSIONBUSP2:B20, JP46:2
Missing connection: JP54:2, EXPANSIONBUSP3:B20
Missing connection: EXPANSIONBUSH1:B21, JP23:2
Missing connection: JP39:2, EXPANSIONBUSP5:B21
Missing connection: JP7:2, EXPANSIONBUSP4:B21
Missing connection: EXPANSIONBUSP1:B21, JP7:2
Missing connection: EXPANSIONBUSP2:B21, JP47:2
Missing connection: JP55:2, EXPANSIONBUSP3:B21
Missing connection: EXPANSIONBUSH1:B23, JP24:2
Missing connection: JP40:2, EXPANSIONBUSP5:B23
Missing connection: JP8:2, EXPANSIONBUSP4:B23
Missing connection: EXPANSIONBUSP1:B23, JP8:2
Missing connection: EXPANSIONBUSP2:B23, JP48:2
Missing connection: JP56:2, EXPANSIONBUSP3:B23
Missing connection: EXPANSIONBUSH1:B24, JP25:2
Missing connection: JP41:2, EXPANSIONBUSP5:B24
Missing connection: JP9:2, EXPANSIONBUSP4:B24
Missing connection: EXPANSIONBUSP1:B24, JP9:2
