Category,Quantity,References,Value,Stock Code,Unit Cost,Description
Miscellaneous,1,EXPANSIONBUS,CONN-DIL34,https://www.mouser.sg/ProductDetail/TE-Connectivity/1658525-2?qs=sGAEpiMZZMs%252BGHln7q6pm4Fqf7MuBHLT6rOqfDeotQQ%3D,£8.89,0.1in pitch DIL connector strip
Miscellaneous,1,EXPANSIONBUS2,CONN-SIL2,https://www.mouser.sg/ProductDetail/Harwin/M20-8900805?qs=%2Fha2pyFadujRVQMSBz%252BYoUCy7UbNMVfTNss7gWmWe0o%3D,,0.1in pitch SIL connector strip
Miscellaneous,1,J1,CONN-DIL8,https://www.mouser.sg/ProductDetail/Mill-Max/803-47-008-10-001000?qs=sGAEpiMZZMvlX3nhDDO4AEvDUxDP%2FxEU0g06CSv%2FFqg%3D,£2.53,0.1in pitch DIL connector strip
Miscellaneous,1,JP1,JUMPER,https://www.mouser.sg/ProductDetail/Harwin/M20-8900805?qs=%2Fha2pyFadujRVQMSBz%252BYoUCy7UbNMVfTNss7gWmWe0o%3D,,Animated Jumper
Miscellaneous,3,"PATTERN DATA,PATTERN HI,PATTERN LO",,,,Pattern Generator (Virtual Instrument)
Miscellaneous,3,"RB1,RG1,RR1",250,,,Generic resistor symbol
Miscellaneous,6,"RB2,RB5,RG2,RG5,RR2,RR5",500,,,Generic resistor symbol
Miscellaneous,3,"RB3,RG3,RR3",1k,,,Generic resistor symbol
Miscellaneous,3,"RB4,RG4,RR4",2k,,,Generic resistor symbol
Miscellaneous,1,VIDCLK,555,https://www.mouser.sg/ProductDetail/CTS-Electronic-Components/MXO45HS-2C-12M0000?qs=sGAEpiMZZMt8zWNA7msRCvpTgpVI8f3UwUWPm0GFK9s%3D,,Timer/Oscillator
Miscellaneous,1,VSMDD1,VSMDIGITALDISPLAY,,,CRT Display with frequency detection
Miscellaneous,1,X2,CRYSTAL,https://www.mouser.sg/ProductDetail/ECS/ECS-121-S-4X?qs=sGAEpiMZZMsBj6bBr9Q9aQVbz5FLOGxj6PWo6GSXrZU%3D,,Quartz crystal
